Session	Activity	Divergent	Convergent	Probe	Toolkit	Prototype
#01 / pre	#1	1	0	1	0	0
#02	#1	0	1	1	1	0
#02	#2	1	0	0	1	0
#02	#2 s/o	1	0	0	1	0
#03	#1	0	1	1	0	0
#03	#1 s/o	0	1	1	0	0
#03	#2	1	0	0	1	0
#03	#2 s/o	1	0	0	1	0
#04	#1	1	0	1	0	0
#04	#1 s/o	1	0	1	0	0
#04	#2A	0	1	1	0	0
#04	#2B	0	1	1	0	0
#05	#1	1	0	0	1	0
#05	#2	0	1	1	0	0
#05	#2 s/o	0	1	1	0	0
#05	#3	1	0	0	1	0
#05	#3 s/o	1	0	0	1	0
#05.5 / think aloud	#0	1	0	0	1	0
#06	#1	0	1	0	0	1
#06	#2	1	0	0	1	0
#06	#2 s/o	1	0	0	1	0
#06.5 / think aloud	#0	1	0	0	1	0
#07	#1	0	1	0	1	0
#07	#2	1	0	1	1	0
#07	#2 s/o	1	0	1	1	0
#07.5 / think aloud	#0	1	0	0	0	1
#08	#1	1	0	0	1	0
#08	#1 s/o	1	0	0	1	0
#08	#2	1	0	1	0	0
#08	#2 s/o	1	0	1	0	0
#09	#0	0	1	0	0	1
#09	#1	0	1	0	0	1
#09	#1 s/o	0	1	0	0	1
#09	#2	0	1	0	0	1
#10	#0	0	1	1	0	0
#10	#1	0	1	1	0	0
#10	#2	0	1	1	0	0
#11 / post	#1	0	1	1	0	0